IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP339;IP_PROP340;IP_PROP341;IP_PROP342;IP_PROP343;IP_PROP344;IP_PROP74;IP_PROP345;IP_PROP338;IP_PROP347;CV_PRICE_1
3375;Ванна моечная ВМС-С-1/400 (500х500х850);vanna-moechnaya-vms-s-1-400-500x500x850;3374;heigh850width500depth500;850;500;500;400х400х300;520;520;12;320;11;;;;;7 074
3376;Ванна моечная ВМС-С-1/500 (600х600х850);vanna-moechnaya-vms-s-1-500-600x600x850;3374;heigh850width600depth600;850;600;600;500х500х300;620;620;13;320;12;;;;;8 131
3377;Ванна моечная ВМС-С-1/600 (700х700х850);vanna-moechnaya-vms-s-1-600-700x700x850;3374;heigh850width700depth700;850;700;700;600х600х400;720;720;21.5;420;20.5;;;;;10 175
3378;Ванна моечная ВМС-С-1/700 (800х800х850);vanna-moechnaya-vms-s-1-700-800x800x850;3374;heigh850width800depth800;850;800;800;700х700х450;820;470;24;470;22.9;;;;;14 088
3380;Ванна моечная ВМС-С-2/400 (1000х500х850);vanna-moechnaya-vms-s-2-400-1000x500x850;3379;heigh850width500depth1000;850;500;1000;400х400х300;1020;520;18;320;16.9;ООО «АССУМ»;;;;12 113
3381;Ванна моечная ВМС-С-2/500 (1200х600х850);vanna-moechnaya-vms-s-2-500-1200x600x850;3379;heigh850width600depth1200;850;600;1200;500х500х300;1220;620;22;320;19.5;ООО «АССУМ»;;;;14 033
3382;Ванна моечная ВМС-С-2/600 (1400х700х850);vanna-moechnaya-vms-s-2-600-1400x700x850;3379;heigh850width700depth1400;850;700;1400;600х600х400;1420;720;38;420;36;ООО «АССУМ»;;;;17 741
3383;Ванна моечная ВМС-С-2/700 (1600х800х850);vanna-moechnaya-vms-s-2-700-1600x800x850;3379;heigh850width800depth1600;850;800;1600;700х700х450;1620;820;42.8;470;40.5;ООО «АССУМ»;0.62;;;26 804
3385;Ванна моечная ВМС-С-3/600 (2100х700х850);vanna-moechnaya-vms-s-3-600-2100x700x850;3384;heigh850width700depth2100;850;700;2100;;;;;;;ООО «АССУМ»;;;;26 481
3387;Ванна моечная ВМС-П-1/400 (500х500х850);vanna-moechnaya-vms-p-1-400-500x500x850;3386;heigh850width500depth500;850;500;500;;;;;;;ООО «АССУМ»;;;;8 473
3388;Ванна моечная ВМС-П-1/500 (600х600х850);vanna-moechnaya-vms-p-1-500-600x600x850;3386;heigh850width600depth600;850;600;600;;;;;;;ООО «АССУМ»;;;;9 621
3389;Ванна моечная ВМС-П-1/600 (700х700х850);vanna-moechnaya-vms-p-1-600-700x700x850;3386;heigh850width700depth700;850;700;700;;;;;;;ООО «АССУМ»;;;;11 771
3390;Ванна моечная ВМС-П-1/700 (800х800х850);vanna-moechnaya-vms-p-1-700-800x800x850;3386;heigh850width800depth800;850;800;800;;;;;;;ООО «АССУМ»;;;;15 504
3392;Ванна моечная ВМС-П-2/400 (1000х500х850);vanna-moechnaya-vms-p-2-400-1000x500x850;3391;heigh850width500depth1000;850;500;1000;;;;;;;ООО «АССУМ»;;;;13 773
3393;Ванна моечная ВМС-П-2/500 (1200х600х850);vanna-moechnaya-vms-p-2-500-1200x600x850;3391;heigh850width600depth1200;850;600;1200;;;;;;;ООО «АССУМ»;;;;15 822
3394;Ванна моечная ВМС-П-2/600 (1400х700х850);vanna-moechnaya-vms-p-2-600-1400x700x850;3391;heigh850width700depth1400;850;700;1400;;;;;;;ООО «АССУМ»;;;;19 759
